img_name,mean,std
29N_3830_3914_13-2019-06-21,"[225.11892700195312, 555.6225576400757, 381.7560205459595, 3572.5384702682495]","[48.020807776172575, 58.691819069587936, 94.56453610107062, 580.9533272544508]"
29N_3830_3914_13-2019-06-28,"[225.5487003326416, 553.0879611968994, 380.57622051239014, 3535.4276599884033]","[41.42231155756942, 53.418062844364904, 89.40513416663573, 552.0451658028437]"
29N_3830_3914_13-2019-07-01,"[226.62039279937744, 551.4904317855835, 381.77513885498047, 3500.8111267089844]","[34.73245833191312, 46.95363840341902, 80.69819067577504, 522.8515628210415]"
29N_3830_3914_13-2019-07-07,"[225.73292922973633, 550.3199682235718, 379.746789932251, 3478.4703693389893]","[31.178438394302766, 43.77836114844474, 79.08060910869544, 521.8520469792918]"
29N_3830_3914_13-2019-07-14,"[224.7203254699707, 550.8966512680054, 376.00838565826416, 3499.0000286102295]","[32.606917805856426, 47.18947031519347, 81.92862511510616, 516.7402020814159]"
29N_3830_3914_13-2019-07-21,"[223.9888563156128, 551.2846632003784, 371.7539291381836, 3515.2100400924683]","[33.56400860833814, 49.039633755365, 83.07080394728692, 512.6616940736985]"
29N_3830_3914_13-2019-07-28,"[218.22825717926025, 552.2184772491455, 357.0366039276123, 3653.113161087036]","[46.06325652315617, 60.6988331659571, 93.75058736524598, 570.2406217635348]"
29N_3830_3914_13-2019-08-01,"[218.66541576385498, 554.3101940155029, 354.4732389450073, 3707.8001165390015]","[51.26659895325807, 66.0437784630009, 97.96357867235173, 599.3862154143635]"
29N_3830_3914_13-2019-08-07,"[225.26183605194092, 559.935305595398, 359.15421867370605, 3718.6335792541504]","[53.113300162525626, 68.58913994124401, 95.25054715867098, 557.1695839251225]"
29N_3830_3914_13-2019-08-14,"[228.35325622558594, 562.2825126647949, 361.4117765426636, 3721.58340549469]","[54.330077144136425, 69.96533990519815, 96.59783858047277, 534.3936144629369]"
29N_3830_3914_13-2019-08-21,"[228.55285358428955, 570.6112852096558, 368.4541130065918, 3751.6540851593018]","[62.82815346688684, 79.92143735953425, 110.65212069943475, 481.4904106572297]"
29N_3830_3914_13-2019-08-28,"[228.54007148742676, 572.4889621734619, 371.5908155441284, 3707.6017684936523]","[59.97284613551478, 78.70588510658307, 110.61001625056504, 424.05598586393535]"
29N_3830_3914_13-2019-09-01,"[229.03801918029785, 573.4661312103271, 372.7068090438843, 3694.8831815719604]","[59.42275152391887, 78.59051353621605, 111.2676668366261, 410.4928519589124]"
29N_3830_3914_13-2019-09-07,"[227.74055004119873, 573.6367292404175, 374.46919441223145, 3642.057933807373]","[59.06931155742061, 85.40012584712785, 123.3462762795462, 413.8166210816148]"
29N_3830_3914_13-2019-09-14,"[228.5511302947998, 571.888147354126, 373.38742446899414, 3631.5593452453613]","[60.41887494342238, 85.94891069292584, 124.40684253916218, 408.45291381221574]"
29N_3830_3914_13-2019-09-21,"[227.27160739898682, 568.9126329421997, 370.0673551559448, 3614.372124671936]","[61.86433996169536, 85.99144408013525, 124.80140869765158, 399.85792610655267]"
29N_3830_3914_13-2019-09-28,"[195.80861949920654, 553.9990396499634, 338.8005619049072, 3469.919122695923]","[67.43370757755518, 89.36699948032262, 127.23182314687834, 395.37135105471674]"
29N_3830_3914_13-2019-10-01,"[196.14685249328613, 552.9846096038818, 338.2433729171753, 3462.3597345352173]","[68.08981476273782, 89.33803873733568, 127.50886442540984, 393.29641281669484]"
29N_3830_3914_13-2019-10-07,"[197.55825519561768, 550.7865438461304, 337.606143951416, 3446.3144664764404]","[68.86848941972391, 88.5124621705229, 127.59886596864182, 388.18107689729874]"
29N_3830_3914_13-2019-10-14,"[221.8839931488037, 553.9139471054077, 357.66728591918945, 3438.6980838775635]","[66.42241220120778, 86.62674998812068, 126.52100191959111, 346.9695166145548]"
29N_3830_3914_13-2019-10-21,"[240.78614902496338, 553.6019763946533, 375.92369079589844, 3446.3158798217773]","[72.83716985419969, 83.03476093847091, 124.30315757249748, 338.118994757192]"
29N_3830_3914_13-2019-10-28,"[231.18233394622803, 548.7991695404053, 360.3352746963501, 3402.680976867676]","[66.15527246725503, 83.31268517668549, 125.19737979982433, 363.27270519339794]"
29N_3830_3914_13-2019-11-01,"[230.07142543792725, 545.0933170318604, 358.88198471069336, 3375.6191234588623]","[67.57281415124179, 85.15453762147531, 129.72256420685645, 362.0350653729785]"
29N_3830_3914_13-2019-11-07,"[223.2383155822754, 532.6267538070679, 352.3659315109253, 3316.4742221832275]","[72.4400221380958, 86.44459605530592, 138.0200286391343, 348.35718822794774]"
29N_3830_3914_13-2019-11-14,"[227.33484554290771, 526.4787950515747, 352.8953285217285, 3281.658754348755]","[77.05826302052733, 85.01559723919611, 143.14392784821882, 354.78230862049014]"
29N_3830_3914_13-2019-11-21,"[234.75069332122803, 523.924222946167, 359.0721912384033, 3188.6315155029297]","[75.59127206826837, 82.02637470926233, 135.68224898875607, 343.1457206730017]"
29N_3830_3914_13-2019-11-28,"[255.72716426849365, 531.0758352279663, 382.8246431350708, 3084.4751920700073]","[59.44244951162521, 69.82860306833567, 127.44451822580545, 315.4505714936632]"
29N_3830_3914_13-2019-12-01,"[266.486891746521, 532.5215101242065, 395.2030839920044, 3031.9302139282227]","[54.26328424184528, 64.54467006428476, 127.41714489516414, 307.5934476072289]"
29N_3830_3914_13-2019-12-07,"[289.55755615234375, 537.6665325164795, 421.88268089294434, 2934.7516899108887]","[50.410936419130174, 61.36769851294183, 129.16294291419715, 296.2189558591757]"
29N_3830_3914_13-2019-12-14,"[317.12304401397705, 543.1073760986328, 456.3664016723633, 2823.294104576111]","[54.08106165950464, 65.63426011145647, 137.8606716069607, 292.18873640285665]"
29N_3830_3914_13-2019-12-21,"[340.2070999145508, 550.896185874939, 486.7260732650757, 2731.1993255615234]","[62.13660333433895, 71.79316420640019, 150.71438777147276, 299.82971038210417]"
29N_3830_3914_13-2019-12-28,"[332.6019916534424, 541.0357284545898, 473.45185565948486, 2662.1852951049805]","[60.786706520851155, 67.35340287115208, 150.2327427832378, 302.76546565385354]"
34N_4553_3325_13-2018-01-01,"[751.6755933761597, 1237.5728883743286, 1651.0207958221436, 3299.4243030548096]","[338.18644204231833, 407.83140329005465, 573.1472053498688, 576.775227337353]"
34N_4553_3325_13-2018-01-07,"[756.5240345001221, 1253.8200674057007, 1667.8307723999023, 3361.7263050079346]","[343.597390651846, 440.8776064618886, 614.2121102776191, 602.4360922704058]"
34N_4553_3325_13-2018-01-14,"[817.6798181533813, 1332.708218574524, 1773.5336666107178, 3442.4728832244873]","[318.80153633826166, 412.26521595091685, 610.482622818995, 556.5369145890181]"
34N_4553_3325_13-2018-01-21,"[815.5523433685303, 1334.4437274932861, 1814.1112146377563, 3380.0576486587524]","[295.4208997159949, 405.4777800515019, 598.18080218112, 507.5099212073194]"
34N_4553_3325_13-2018-01-28,"[813.1761054992676, 1321.6525220870972, 1815.3588733673096, 3235.3696641921997]","[210.9070115145244, 305.8935757442084, 485.17367212614243, 403.1024602688082]"
34N_4553_3325_13-2018-02-01,"[811.0348834991455, 1318.9726963043213, 1831.0031175613403, 3179.9768829345703]","[168.28929019526757, 260.53805277295936, 423.740759398055, 344.8692180811734]"
34N_4553_3325_13-2018-02-07,"[811.7821531295776, 1311.3745212554932, 1861.1833963394165, 3148.6194162368774]","[216.11003418498666, 315.9088534177187, 470.96316889799544, 370.9763360111809]"
34N_4553_3325_13-2018-02-14,"[818.0489768981934, 1310.8616209030151, 1902.8280448913574, 3084.0079832077026]","[319.1054266419219, 429.471825187419, 584.5755042371449, 468.4068764010937]"
34N_4553_3325_13-2018-02-21,"[829.6164617538452, 1331.9445419311523, 1961.4327917099, 3100.2985286712646]","[357.6979601639612, 472.036940728302, 639.4463833765237, 489.8430815561116]"
34N_4553_3325_13-2018-02-28,"[887.1241359710693, 1416.624168395996, 2096.8800134658813, 3140.814040184021]","[347.46352104675844, 453.0014421040852, 617.9852979377973, 492.81415143762547]"
34N_4553_3325_13-2018-03-01,"[897.8069591522217, 1431.3903875350952, 2118.7085886001587, 3148.4458360671997]","[342.0691835283463, 445.05074200539093, 612.0576967247758, 493.280581545454]"
34N_4553_3325_13-2018-03-07,"[938.440938949585, 1493.3665752410889, 2235.4309158325195, 3218.1909379959106]","[248.89665913918168, 321.7563912010698, 474.786029842124, 372.88734138202653]"
34N_4553_3325_13-2018-03-14,"[978.5693311691284, 1540.9667921066284, 2310.7834300994873, 3260.036096572876]","[380.07282541240875, 470.5816958386398, 629.3512807451791, 506.88777980450504]"
34N_4553_3325_13-2018-03-21,"[998.8070468902588, 1576.1627178192139, 2381.3354139328003, 3311.244384765625]","[253.34175380405304, 310.131996218495, 405.92263304560936, 315.32910221567107]"
34N_4553_3325_13-2018-03-28,"[996.5911064147949, 1572.132028579712, 2386.8284072875977, 3331.5818948745728]","[333.54182478996825, 418.87633453595885, 540.1461935334066, 411.83647452038286]"
34N_4553_3325_13-2018-04-01,"[1002.1488380432129, 1583.5776777267456, 2398.515899658203, 3337.78515625]","[392.73234591412813, 475.68024703294907, 613.5260266586374, 470.8048483954626]"
34N_4553_3325_13-2018-04-07,"[1025.586570739746, 1624.6996545791626, 2446.8879022598267, 3362.444965362549]","[359.04227390603006, 428.0383414935115, 544.3913813833509, 412.3094335294965]"
34N_4553_3325_13-2018-04-14,"[1053.855128288269, 1671.5516948699951, 2510.7127170562744, 3394.508765220642]","[256.07001135124665, 290.4811847913603, 380.96283114279066, 286.90414234054737]"
34N_4553_3325_13-2018-04-21,"[1083.217957496643, 1702.478964805603, 2559.077365875244, 3450.723850250244]","[296.09000759673194, 357.7858646631015, 461.355331392089, 307.58335580479763]"
34N_4553_3325_13-2018-04-28,"[1046.9190320968628, 1667.318205833435, 2530.953296661377, 3412.8664894104004]","[304.9890235156831, 373.5271266925569, 476.73777668795117, 343.74654199844764]"
34N_4553_3325_13-2018-05-01,"[1058.8367280960083, 1680.590573310852, 2549.2317867279053, 3434.401135444641]","[339.2425771902806, 402.0383441487202, 504.95614027839446, 366.33154114742035]"
34N_4553_3325_13-2018-05-07,"[1091.5946598052979, 1712.908561706543, 2588.492959022522, 3488.585352897644]","[336.2467628667172, 413.30871548329264, 526.1432891063339, 399.2389020494065]"
34N_4553_3325_13-2018-05-14,"[1083.6292476654053, 1704.9170789718628, 2592.0121545791626, 3470.415008544922]","[363.3624821966017, 438.6229069156225, 552.8247496892226, 420.599975489482]"
34N_4553_3325_13-2018-05-21,"[1081.7651176452637, 1706.0657472610474, 2597.252893447876, 3499.334687232971]","[348.5786940997083, 419.1342522081105, 519.9577732861134, 369.78382706959303]"
34N_4553_3325_13-2018-05-28,"[1088.6322650909424, 1715.826831817627, 2595.264528274536, 3501.458656311035]","[354.16155000190327, 427.0777183824938, 539.6593746043609, 388.16101875157494]"
34N_4553_3325_13-2018-06-01,"[1071.4234113693237, 1684.6673421859741, 2572.8308238983154, 3475.1882524490356]","[338.8108395171715, 423.5177541975723, 530.616787756083, 393.30242340420216]"
34N_4553_3325_13-2018-06-07,"[1083.8122262954712, 1714.7444105148315, 2597.027576446533, 3498.2009229660034]","[310.2071612924412, 378.15848599515454, 473.9706579802145, 341.28289688050654]"
34N_4553_3325_13-2018-06-14,"[1091.788324356079, 1715.0508728027344, 2605.0583906173706, 3497.622537612915]","[371.87674670268893, 444.48905051709346, 553.285895048845, 401.38235854789326]"
34N_4553_3325_13-2018-06-21,"[1089.597508430481, 1712.8308210372925, 2598.533924102783, 3496.26443195343]","[352.8995529322368, 432.1905858734795, 538.3715383014512, 389.3918231913089]"
34N_4553_3325_13-2018-06-28,"[1080.9786834716797, 1702.7629146575928, 2617.661171913147, 3516.4044227600098]","[397.26650262520263, 468.83033052740024, 571.2280173145798, 411.3082677582569]"
34N_4553_3325_13-2018-07-01,"[1074.9689445495605, 1688.5214490890503, 2602.651041030884, 3498.820453643799]","[393.72193359462517, 462.37801657271854, 563.0937353182514, 407.5374282605727]"
34N_4553_3325_13-2018-07-07,"[1094.920184135437, 1719.201241493225, 2621.0902004241943, 3516.8670539855957]","[349.6891794949764, 423.6838981514976, 530.7725733842403, 384.07791371564576]"
34N_4553_3325_13-2018-07-14,"[1074.8002433776855, 1703.683729171753, 2615.128372192383, 3524.7279176712036]","[378.2086235997021, 462.37632067934953, 588.2304842979416, 431.04838494453446]"
34N_4553_3325_13-2018-07-21,"[1091.0948915481567, 1720.1873664855957, 2641.5605325698853, 3558.9434099197388]","[355.01125406129563, 443.44722083942895, 571.7131070324328, 429.9905753023253]"
34N_4553_3325_13-2018-07-28,"[1094.7241640090942, 1716.5789880752563, 2622.8847093582153, 3526.1716327667236]","[371.82600109716975, 469.03691944390334, 602.569649006043, 442.74017654934096]"
34N_4553_3325_13-2018-08-01,"[1090.0185070037842, 1712.1135025024414, 2618.101692199707, 3509.873902320862]","[365.49686410820624, 441.7843571234205, 562.0748656816116, 409.622105548338]"
34N_4553_3325_13-2018-08-07,"[1085.9882650375366, 1709.3240509033203, 2605.3927040100098, 3498.6644563674927]","[335.96988880616465, 413.25764207656226, 523.9665049796143, 392.98614290710043]"
34N_4553_3325_13-2018-08-14,"[1092.4684343338013, 1715.4793128967285, 2613.376296043396, 3511.9431591033936]","[331.53424007518703, 410.7564447971818, 523.1565883401261, 394.3918764788673]"
34N_4553_3325_13-2018-08-21,"[1074.4422597885132, 1690.8202142715454, 2571.0253591537476, 3485.915641784668]","[302.31332566137917, 398.0367594832462, 523.1654707451567, 405.5492314181603]"
34N_4553_3325_13-2018-08-28,"[1093.049545288086, 1715.0298528671265, 2607.5594758987427, 3509.1945476531982]","[302.6071832037856, 385.24986685505587, 505.1995957036051, 385.3369771772476]"
34N_4553_3325_13-2018-09-01,"[1090.3893184661865, 1709.569577217102, 2597.4093799591064, 3497.6817474365234]","[327.42934225459345, 400.2620699155134, 517.5282800706605, 397.460892910802]"
34N_4553_3325_13-2018-09-07,"[1075.895034790039, 1688.302417755127, 2571.823610305786, 3462.463653564453]","[329.41300594393743, 408.97008766778174, 540.7421902312736, 415.48551308887676]"
34N_4553_3325_13-2018-09-14,"[1095.0641841888428, 1712.3654108047485, 2593.9606618881226, 3481.736837387085]","[304.7053151690806, 393.23649486653574, 534.4363805418475, 419.90846931423465]"
34N_4553_3325_13-2018-09-21,"[1081.1133699417114, 1694.1298389434814, 2559.016499519348, 3457.8146600723267]","[309.83947532413106, 407.3973854576417, 555.1229563488773, 440.5951599530165]"
34N_4553_3325_13-2018-09-28,"[1027.7100477218628, 1603.8186120986938, 2429.8003883361816, 3336.308319091797]","[323.6839497425908, 425.56564608579544, 562.4503063288915, 428.49556250669286]"
34N_4553_3325_13-2018-10-01,"[1027.582802772522, 1607.3611936569214, 2440.293857574463, 3342.334140777588]","[328.8895229098755, 432.5797222054922, 583.5454336120567, 449.1466380516439]"
34N_4553_3325_13-2018-10-07,"[1032.9874048233032, 1624.2924890518188, 2481.09566116333, 3382.1625785827637]","[330.72668658973583, 429.1506993531792, 585.905043323415, 449.87569671247644]"
34N_4553_3325_13-2018-10-14,"[1019.2667636871338, 1613.8099718093872, 2457.8817567825317, 3353.7655115127563]","[357.1566927360174, 442.9923032563161, 588.2038243757157, 452.5092044454839]"
34N_4553_3325_13-2018-10-21,"[1023.4980916976929, 1625.0463457107544, 2462.539083480835, 3339.2281532287598]","[289.73673826545905, 374.42297298773616, 521.9590659975497, 429.2933738620257]"
34N_4553_3325_13-2018-10-28,"[1010.1268768310547, 1600.7255020141602, 2419.1302185058594, 3321.6666898727417]","[325.3966253999926, 424.5146827008524, 610.5108002430154, 491.8273792028164]"
34N_4553_3325_13-2018-11-01,"[987.9947719573975, 1572.1013469696045, 2380.0792474746704, 3297.3302993774414]","[331.7592658009335, 437.82478790558775, 629.1790172472853, 497.1598723026617]"
34N_4553_3325_13-2018-11-07,"[991.778226852417, 1573.2815036773682, 2368.530093193054, 3277.1851511001587]","[358.6088652752935, 470.4766394933259, 667.706642230283, 547.42644977868]"
34N_4553_3325_13-2018-11-14,"[970.7741746902466, 1547.2940549850464, 2324.9861392974854, 3243.7089195251465]","[334.74670341967527, 431.3889134460294, 632.2024010558579, 542.0243621225055]"
34N_4553_3325_13-2018-11-21,"[922.9701499938965, 1467.9801387786865, 2227.3172426223755, 3122.4897785186768]","[325.3304461065836, 414.224250083356, 600.2392418164536, 504.43036269719113]"
34N_4553_3325_13-2018-11-28,"[900.4486265182495, 1406.059271812439, 2117.3320837020874, 2991.8194103240967]","[325.8483834769062, 408.3426001804851, 571.4717097372168, 478.9770049737452]"
34N_4553_3325_13-2018-12-01,"[895.9214553833008, 1408.2677764892578, 2086.3024549484253, 2971.9715719223022]","[355.6753816620743, 445.78866826909405, 603.8216555327982, 507.18345109620856]"
34N_4553_3325_13-2018-12-07,"[842.8188772201538, 1353.3471355438232, 1951.43603515625, 2929.266142845154]","[360.7912402805368, 445.8462584849843, 614.9647181320748, 508.16126868041306]"
34N_4553_3325_13-2018-12-14,"[770.237753868103, 1277.1454458236694, 1785.0613641738892, 2926.514253616333]","[338.73258323552386, 412.7190769320622, 596.4854810059868, 515.5178047762521]"
34N_4553_3325_13-2018-12-21,"[744.9247150421143, 1280.8597230911255, 1778.5943775177002, 3049.6541423797607]","[380.8932620577185, 459.34322650824754, 670.4192654167457, 582.6460862402103]"
34N_4553_3325_13-2018-12-28,"[778.306188583374, 1297.5533447265625, 1741.3454818725586, 3104.0216512680054]","[388.0644956774655, 457.11649292491177, 654.5933180409675, 578.496542585992]"
34N_4553_3325_13-2019-01-01,"[757.3251972198486, 1242.7887229919434, 1625.5356044769287, 3182.3212633132935]","[358.762578340589, 423.632840173425, 600.5318986047766, 558.4069853993258]"
34N_4553_3325_13-2019-01-07,"[740.339225769043, 1211.2932615280151, 1542.310173034668, 3206.824764251709]","[344.9557146591777, 410.3761089529894, 571.4105132983735, 555.2211700288648]"
34N_4553_3325_13-2019-01-14,"[753.3788986206055, 1209.1163482666016, 1523.8809928894043, 3245.289917945862]","[372.7887159360673, 444.64086348843495, 614.3697789474578, 630.3617765136543]"
34N_4553_3325_13-2019-01-21,"[750.1647710800171, 1231.142557144165, 1495.784652709961, 3293.1075439453125]","[368.75685878863385, 422.153371978888, 584.6012015196754, 639.3634662490166]"
34N_4553_3325_13-2019-01-28,"[714.674072265625, 1190.0533828735352, 1439.217700958252, 3289.631251335144]","[382.86084556125917, 435.82761265694757, 602.0591695863064, 605.3196059458494]"
34N_4553_3325_13-2019-02-01,"[727.4115219116211, 1202.9806566238403, 1441.6427450180054, 3324.850980758667]","[396.2221934569372, 463.73144740157585, 629.8109572372234, 612.5084883250018]"
34N_4553_3325_13-2019-02-07,"[744.765664100647, 1204.4862756729126, 1429.5423316955566, 3403.8607788085938]","[375.33316064257434, 443.6946267564302, 589.9179612141012, 588.1502506409066]"
34N_4553_3325_13-2019-02-14,"[772.4333992004395, 1214.4272527694702, 1421.3736171722412, 3478.750535964966]","[371.49701805620805, 456.4624445120753, 618.174254909474, 667.9773519430674]"
34N_4553_3325_13-2019-02-21,"[756.6341571807861, 1212.1989040374756, 1404.5548467636108, 3538.868938446045]","[395.2076131972183, 476.29727718691106, 639.9513339864318, 658.724142076294]"
34N_4553_3325_13-2019-02-28,"[749.0375270843506, 1232.7045421600342, 1437.07350730896, 3606.534790992737]","[414.7980220870169, 483.00531591942087, 668.8375014344548, 610.9525041590771]"
34N_4553_3325_13-2019-03-01,"[749.1313161849976, 1233.7729539871216, 1444.9415912628174, 3612.1138019561768]","[418.5781742143255, 488.8199743995331, 673.541873106479, 602.5469924376347]"
34N_4553_3325_13-2019-03-07,"[769.6246709823608, 1275.7792377471924, 1493.9012985229492, 3640.026535987854]","[417.62488613696445, 510.8769336162898, 699.1602177068373, 617.2120010300073]"
34N_4553_3325_13-2019-03-14,"[789.3963413238525, 1308.3853569030762, 1551.6814136505127, 3637.136191368103]","[407.53390826746227, 473.743434822796, 661.0794089892335, 515.5914176888807]"
34N_4553_3325_13-2019-03-21,"[862.8292617797852, 1372.1259059906006, 1673.9287729263306, 3617.834511756897]","[431.2966576327044, 478.1124003862145, 677.0875618156733, 471.93550220412857]"
34N_4553_3325_13-2019-03-28,"[865.5961713790894, 1366.006812095642, 1715.3190326690674, 3493.76944065094]","[425.0001607421005, 491.8613358363716, 672.7945295812273, 461.036376932067]"
34N_4553_3325_13-2019-04-01,"[895.7022314071655, 1402.814016342163, 1797.941912651062, 3505.870295524597]","[456.60753959296954, 544.7623967845976, 721.0366027544445, 474.25704422008266]"
34N_4553_3325_13-2019-04-07,"[934.8604879379272, 1442.132176399231, 1913.078456878662, 3470.4275159835815]","[470.0157276037365, 564.8310604963098, 726.1530178543389, 479.26408406015963]"
34N_4553_3325_13-2019-04-14,"[992.7230339050293, 1509.5641822814941, 2100.6918239593506, 3447.8430728912354]","[475.5432448307412, 565.6478574339226, 705.3113627549395, 500.58588402876546]"
34N_4553_3325_13-2019-04-21,"[1065.9900074005127, 1616.6478385925293, 2303.2161598205566, 3479.0334367752075]","[435.15228019319613, 508.5779898616146, 616.6660977033565, 442.7687784546191]"
34N_4553_3325_13-2019-04-28,"[1097.0527029037476, 1666.5459327697754, 2367.766185760498, 3488.978959083557]","[376.30049176545066, 432.5517278483239, 530.0458338921957, 383.09360310132826]"
34N_4553_3325_13-2019-05-01,"[1104.5638437271118, 1668.5584316253662, 2388.4007501602173, 3525.5692071914673]","[424.75617241371936, 499.7858469797223, 619.6033744531803, 456.29732115407023]"
34N_4553_3325_13-2019-05-07,"[1100.359811782837, 1662.604528427124, 2405.517569541931, 3517.241166114807]","[460.6385441527837, 537.1719716693683, 649.2484962175075, 480.00604064306594]"
34N_4553_3325_13-2019-05-14,"[1113.8985300064087, 1684.4501085281372, 2450.9150390625, 3556.816116333008]","[527.2963322329184, 590.0391840110053, 703.6555569272576, 467.77348644054695]"
34N_4553_3325_13-2019-05-21,"[1161.8465156555176, 1737.7247877120972, 2522.1471815109253, 3595.0727100372314]","[471.37288455516705, 533.9032036707188, 636.315898495636, 445.21471566632476]"
34N_4553_3325_13-2019-05-28,"[1151.1795825958252, 1732.2936029434204, 2511.755528450012, 3586.607089996338]","[409.3734159849777, 475.7065993029991, 547.5967831228149, 382.4827093550254]"
34N_4553_3325_13-2019-06-01,"[1131.9704933166504, 1700.6428670883179, 2482.8751878738403, 3572.530668258667]","[444.3289756784878, 504.09338441656377, 580.9334561492657, 403.93645105636847]"
34N_4553_3325_13-2019-06-07,"[1113.9959268569946, 1682.9113597869873, 2455.1011085510254, 3532.768898963928]","[491.04331000684493, 551.2940638962166, 630.1178186575122, 426.28303886300444]"
34N_4553_3325_13-2019-06-14,"[1125.4737663269043, 1704.5636901855469, 2473.665594100952, 3550.3259449005127]","[511.8731875771697, 580.9980420512251, 659.6247778703442, 438.8026314505284]"
34N_4553_3325_13-2019-06-21,"[1126.3207788467407, 1694.1746292114258, 2471.821729660034, 3540.352569580078]","[473.70307837103314, 548.0641734330491, 631.0303392038068, 439.21696611141715]"
34N_4553_3325_13-2019-06-28,"[1166.6632900238037, 1746.7099723815918, 2530.4421224594116, 3601.3332319259644]","[450.4328409609068, 546.2730347444262, 645.4622168039035, 457.84258602863105]"
34N_4553_3325_13-2019-07-01,"[1169.4085397720337, 1748.5155620574951, 2532.9755067825317, 3608.4208097457886]","[463.4529662096807, 572.45756532418, 681.6959604164748, 493.6231835634751]"
34N_4553_3325_13-2019-07-07,"[1136.7368984222412, 1708.9264364242554, 2483.3682317733765, 3552.75501537323]","[475.92330805358637, 592.7031185771945, 698.221340563545, 481.59943846408066]"
34N_4553_3325_13-2019-07-14,"[1138.8354177474976, 1712.425298690796, 2480.8162631988525, 3551.7634897232056]","[428.9871345270241, 510.06076927031324, 604.785540069769, 428.76984506693873]"
34N_4553_3325_13-2019-07-21,"[1129.5132722854614, 1700.4903316497803, 2472.0577144622803, 3534.4683589935303]","[435.86178590201337, 535.6442256775264, 632.0748012082652, 465.95052047560307]"
34N_4553_3325_13-2019-07-28,"[1130.1514692306519, 1697.356598854065, 2461.9319410324097, 3505.2449293136597]","[424.0062381420403, 510.2610374512893, 600.99341617727, 448.35739581294746]"
34N_4553_3325_13-2019-08-01,"[1137.4342994689941, 1709.0636682510376, 2487.792957305908, 3530.2545137405396]","[424.0035012408301, 509.64731300583173, 607.7180898638229, 459.99477267315496]"
34N_4553_3325_13-2019-08-07,"[1137.0404443740845, 1710.9304504394531, 2483.8675174713135, 3549.2139568328857]","[424.30603320646003, 510.70123241916076, 620.2111698050431, 473.818093319344]"
34N_4553_3325_13-2019-08-14,"[1145.2588291168213, 1713.278392791748, 2479.753734588623, 3531.1149864196777]","[423.80879098558347, 530.0779064920175, 662.1396891144904, 519.6634264481314]"
34N_4553_3325_13-2019-08-21,"[1137.108359336853, 1707.3714008331299, 2459.719871520996, 3521.4678134918213]","[401.6981847387382, 505.8258362367159, 615.9581812189931, 479.1950521471851]"
34N_4553_3325_13-2019-08-28,"[1118.7775955200195, 1681.9395036697388, 2444.241576194763, 3482.1238298416138]","[424.2295092752204, 507.6318487598344, 634.3450754070656, 496.65453777361483]"
34N_4553_3325_13-2019-09-01,"[1123.8127756118774, 1684.7293062210083, 2437.057774543762, 3470.1711387634277]","[425.67776047000393, 515.011327813818, 643.9824741293064, 507.77879442942043]"
34N_4553_3325_13-2019-09-07,"[1134.23228931427, 1699.2965602874756, 2464.7622575759888, 3488.171607017517]","[408.91544993713705, 507.65838675933304, 627.5206430481671, 492.23294719949337]"
34N_4553_3325_13-2019-09-14,"[1139.1628246307373, 1701.4069728851318, 2465.6385746002197, 3491.7676181793213]","[399.46529915951476, 509.426913616569, 640.7939074101939, 496.24332000649014]"
34N_4553_3325_13-2019-09-21,"[1127.016580581665, 1680.4946298599243, 2432.808023452759, 3465.075526237488]","[374.3194955935226, 488.9552909345584, 612.8004850967202, 474.3680993782698]"
34N_4553_3325_13-2019-09-28,"[1129.0176467895508, 1676.4338579177856, 2410.9202003479004, 3411.328939437866]","[354.0658870787047, 463.61025565588886, 587.2698966762181, 483.222574489741]"
34N_4553_3325_13-2019-10-01,"[1111.8971509933472, 1662.8999786376953, 2395.3815698623657, 3412.1049184799194]","[346.6194156306238, 459.9161121915303, 585.2608082354534, 482.5736098974074]"
34N_4553_3325_13-2019-10-07,"[1100.5376358032227, 1655.5394048690796, 2387.889147758484, 3387.893051147461]","[360.9666465936974, 473.7630247050129, 599.098524110616, 464.7031264409966]"
34N_4553_3325_13-2019-10-14,"[1071.630464553833, 1601.8682708740234, 2302.824956893921, 3287.8099031448364]","[369.62216389546586, 472.6326416137585, 596.2708698959095, 470.61381718575916]"
34N_4553_3325_13-2019-10-21,"[1061.3849620819092, 1581.2879514694214, 2279.3750038146973, 3235.1126642227173]","[351.43710940875206, 442.3434582225587, 568.4535546558982, 465.72734206078985]"
34N_4553_3325_13-2019-10-28,"[1058.6289978027344, 1563.5596914291382, 2254.937089920044, 3202.4172468185425]","[347.500512131294, 440.08600579558777, 571.3297387078895, 469.40971694260065]"
34N_4553_3325_13-2019-11-01,"[1052.0809364318848, 1555.4069452285767, 2254.5925989151, 3189.03688621521]","[345.0162350954595, 440.56682858069644, 589.8675783315922, 496.0581602034954]"
34N_4553_3325_13-2019-11-07,"[1057.8304996490479, 1566.5437641143799, 2265.91307926178, 3181.8104429244995]","[334.1123733589693, 425.43746933185577, 556.6813694884422, 440.3657694183373]"
34N_4553_3325_13-2019-11-14,"[1016.3506174087524, 1512.9137496948242, 2190.19282913208, 3082.5285930633545]","[326.32808005412915, 419.1187943091264, 545.5990465357922, 451.5172638161299]"
34N_4553_3325_13-2019-11-21,"[1005.1194324493408, 1494.193175315857, 2159.3248195648193, 3049.6846742630005]","[364.09860703359357, 462.5590125686571, 593.515412819927, 509.07248488153897]"
